subject;AQ;group;session;daysInBetween;pictureCondition;cancel;ACC;RT1;RTTot;delta_ACC;delta_RT1;delta_RTTot;roi_efield;P99_efield;perc_overlap;volume_roi;volume_P99;volume_overlap
2;9;2;1;4;2;0;1;22690;29201;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;1;0;0;17001;26260;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;2;0;1;23328;31686;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;1;0;6;23511;37189;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;2;0;6;17780;26612;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;2;0;1;40600;43793;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;1;0;2;28504;49737;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;3;1;2;38230;47645;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;5;0;3;34809;46139;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;5;0;3;35686;54555;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;1;0;6;11908;27683;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;3;0;1;31758;60642;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;5;0;0;21130;47371;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;5;0;6;17251;36848;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;3;0;0;24526;42060;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;1;4;3;0;0;16415;37816;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;2;4;2;0;6;16598;25968;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;2;4;1;1;6;11705;18425;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;2;4;2;0;6;12724;22329;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;2;4;5;0;0;16568;37165;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;2;4;5;0;6;30476;37980;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
2;9;2;2;4;2;1;6;16391;20253;1,5;-5960;-11432,75;0,281451577;0,334546036;0,203147789;2512,860926;6041,191308;510,4821404
